experiment,input_distribution,method,precision,threads,n,trial,seed_x,seed_y,result,reference_fp64,reference_same_precision,abs_reference_fp64,abs_reference_same_precision,sum_abs_products,dot_condition_number_fp64,dot_condition_number_same_precision,abs_error_vs_serial_fp64,scaled_error_vs_sum_abs_products,scaled_parallel_error_vs_sum_abs_products,error_vs_serial_fp64,mixed_error_vs_fp64,parallel_error_vs_serial_same_precision
error,normal,openmp,mixed_fp32_fp64,1,1000000,4,100127,100460,1334.3724421924173,1334.372392984825,1334.3724421924173,1334.372392984825,1334.3724421924173,636078.72611829301,476.68756447775729,476.68754689897145,4.9207592383027077e-05,7.7360852300971041e-11,0,3.6876956269273388e-08,3.6876956269273388e-08,0
error,normal,openmp,fp64,2,1000000,4,100127,100460,1334.3723929847508,1334.372392984825,1334.372392984825,1334.372392984825,1334.372392984825,636078.72611829301,476.68756447775729,476.68756447775729,7.4123818194493651e-11,1.1653245919233696e-16,1.1653245919233696e-16,5.5549574154998737e-14,,5.5549574154998737e-14
error,normal,openmp,mixed_fp32_fp64,2,1000000,4,100127,100460,1334.3724421924173,1334.372392984825,1334.3724421924173,1334.372392984825,1334.3724421924173,636078.72611829301,476.68756447775729,476.68754689897145,4.9207592383027077e-05,7.7360852300971041e-11,0,3.6876956269273388e-08,3.6876956269273388e-08,0
error,normal,openmp,fp64,4,1000000,4,100127,100460,1334.3723929847458,1334.372392984825,1334.372392984825,1334.372392984825,1334.372392984825,636078.72611829301,476.68756447775729,476.68756447775729,7.9126039054244757e-11,1.2439661288016336e-16,1.2439661288016336e-16,5.9298318423127493e-14,,5.9298318423127493e-14
error,normal,openmp,mixed_fp32_fp64,4,1000000,4,100127,100460,1334.3724421924173,1334.372392984825,1334.3724421924173,1334.372392984825,1334.3724421924173,636078.72611829301,476.68756447775729,476.68754689897145,4.9207592383027077e-05,7.7360852300971041e-11,0,3.6876956269273388e-08,3.6876956269273388e-08,0
error,normal,openmp,fp64,8,1000000,4,100127,100460,1334.3723929847365,1334.372392984825,1334.372392984825,1334.372392984825,1334.372392984825,636078.72611829301,476.68756447775729,476.68756447775729,8.8448359747417271e-11,1.3905253566202171e-16,1.3905253566202171e-16,6.6284614559185616e-14,,6.6284614559185616e-14
error,normal,openmp,mixed_fp32_fp64,8,1000000,4,100127,100460,1334.3724421924176,1334.372392984825,1334.3724421924173,1334.372392984825,1334.3724421924173,636078.72611829301,476.68756447775729,476.68754689897145,4.9207592610400752e-05,7.7360852658432568e-11,3.5746153126483729e-19,3.687695643967086e-08,3.687695643967086e-08,1.7039746044938527e-16
error,normal,openmp,fp64,16,1000000,4,100127,100460,1334.3723929847592,1334.372392984825,1334.372392984825,1334.372392984825,1334.372392984825,636078.72611829301,476.68756447775729,476.68756447775729,6.5710992203094065e-11,1.0330638253553797e-16,1.0330638253553797e-16,4.9244867885873115e-14,,4.9244867885873115e-14
error,normal,openmp,mixed_fp32_fp64,16,1000000,4,100127,100460,1334.3724421924178,1334.372392984825,1334.3724421924173,1334.372392984825,1334.3724421924173,636078.72611829301,476.68756447775729,476.68754689897145,4.9207592837774428e-05,7.7360853015894107e-11,7.1492306252967459e-19,3.6876956610068326e-08,3.6876956610068326e-08,3.4079492089877054e-16
error,normal,openmp,fp64,22,1000000,4,100127,100460,1334.3723929847565,1334.372392984825,1334.372392984825,1334.372392984825,1334.372392984825,636078.72611829301,476.68756447775729,476.68756447775729,6.843947630841285e-11,1.0759592091071602e-16,1.0759592091071602e-16,5.1289637486670612e-14,,5.1289637486670612e-14
error,normal,openmp,mixed_fp32_fp64,22,1000000,4,100127,100460,1334.3724421924176,1334.372392984825,1334.3724421924173,1334.372392984825,1334.3724421924173,636078.72611829301,476.68756447775729,476.68754689897145,4.9207592610400752e-05,7.7360852658432568e-11,3.5746153126483729e-19,3.687695643967086e-08,3.687695643967086e-08,1.7039746044938527e-16
error,normal,serial,fp64,,1000000,5,100128,100461,-345.18482357824888,-345.18482357824888,-345.18482357824888,345.18482357824888,345.18482357824888,637024.27717387467,1845.4585302168407,1845.4585302168407,0,0,0,0,,0
error,normal,serial,mixed_fp32_fp64,,1000000,5,100128,100461,-345.18474114350084,-345.18482357824888,-345.18474114350084,345.18482357824888,345.18474114350084,637024.27717387467,1845.4585302168407,1845.458970937101,8.2434748037485406e-05,1.2940597555120334e-10,0,2.3881336144200013e-07,2.3881336144200013e-07,0
error,normal,openmp,fp64,1,1000000,5,100128,100461,-345.18482357824888,-345.18482357824888,-345.18482357824888,345.18482357824888,345.18482357824888,637024.27717387467,1845.4585302168407,1845.4585302168407,0,0,0,0,,0
error,normal,openmp,mixed_fp32_fp64,1,1000000,5,100128,100461,-345.18474114350084,-345.18482357824888,-345.18474114350084,345.18482357824888,345.18474114350084,637024.27717387467,1845.4585302168407,1845.458970937101,8.2434748037485406e-05,1.2940597555120334e-10,0,2.3881336144200013e-07,2.3881336144200013e-07,0
error,normal,openmp,fp64,2,1000000,5,100128,100461,-345.18482357825872,-345.18482357824888,-345.18482357824888,345.18482357824888,345.18482357824888,637024.27717387467,1845.4585302168407,1845.4585302168407,9.8339114629197866e-12,1.5437263249286867e-17,1.5437263249286867e-17,2.8488829146599395e-14,,2.8488829146599395e-14
error,normal,openmp,mixed_fp32_fp64,2,1000000,5,100128,100461,-345.18474114350101,-345.18482357824888,-345.18474114350084,345.18482357824888,345.18474114350084,637024.27717387467,1845.4585302168407,1845.458970937101,8.2434747866955149e-05,1.2940597528350512e-10,2.6769820663503237e-19,2.388133609479742e-07,2.388133609479742e-07,4.9402605693839432e-16
error,normal,openmp,fp64,4,1000000,5,100128,100461,-345.18482357824695,-345.18482357824888,-345.18482357824888,345.18482357824888,345.18482357824888,637024.27717387467,1845.4585302168407,1845.4585302168407,1.9326762412674725e-12,3.0339130085303669e-18,3.0339130085303669e-18,5.5989606415282047e-15,,5.5989606415282047e-15
error,normal,openmp,mixed_fp32_fp64,4,1000000,5,100128,100461,-345.1847411435009,-345.18482357824888,-345.18474114350084,345.18482357824888,345.18474114350084,637024.27717387467,1845.4585302168407,1845.458970937101,8.2434747980641987e-05,1.2940597546197061e-10,8.92327355450108e-20,2.3881336127732486e-07,2.3881336127732486e-07,1.646753523127981e-16
