input_distribution,method,precision,threads,n,n_obs,best,median,mean,std,q25,q75,q05,q95,serial_best,serial_median,speedup_best,speedup_median
alternating_sign,openmp,mixed_fp32_fp64,2.0,13572088,8,0.007999631,0.00937511849999995,0.011362603749999964,0.004312067155096587,0.008159108249999925,0.013358158499999976,0.00802534375,0.018059688349999967,0.01301093,0.01453183199999995,1.6264412696035604,1.5500424874629615
alternating_sign,openmp,mixed_fp32_fp64,2.0,26050038,8,0.013929851,0.014848577,0.015194329999999989,0.0011889611573607207,0.0144073875,0.015832401499999975,0.01398170875,0.017000874599999966,0.0256516819999999,0.02657848649999995,1.8414900489603157,1.789968594296945
alternating_sign,openmp,mixed_fp32_fp64,2.0,50000000,8,0.0253499039999999,0.026575906500000003,0.026695346249999974,0.0012081914522997584,0.025611005750000002,0.02742929475,0.025406171049999933,0.028418699149999935,0.044285111,0.045494825,1.7469537951701979,1.7118823397425784
alternating_sign,openmp,mixed_fp32_fp64,4.0,1000000,8,0.000346724,0.0003703125,0.000378769624999975,2.556204897297077e-05,0.000363431999999925,0.00039402549999992503,0.0003511459,0.00041636965,0.0010147509999999,0.00107213149999995,2.9266823179240546,2.8952074261602023
alternating_sign,openmp,mixed_fp32_fp64,4.0,1919384,8,0.000581907,0.00079170549999995,0.0009261578749999751,0.00044869343206867403,0.000657078499999975,0.00095590275,0.000582755049999965,0.0016616104999999997,0.0021412699999999,0.00221549599999995,3.6797460762628735,2.7983839950588822
alternating_sign,openmp,mixed_fp32_fp64,4.0,3684032,8,0.001149455,0.001552299,0.0032442491249999876,0.0032298675010590926,0.0013083510000000001,0.003735066499999975,0.0011509495,0.008575036999999966,0.004163344,0.0042788815,3.622015650895425,2.756480227069656
alternating_sign,openmp,mixed_fp32_fp64,4.0,7071068,8,0.002289969,0.0027745154999999503,0.0027709297499999377,0.00036915526120502644,0.0024577867499999003,0.003048924749999925,0.002335738499999965,0.0032247332499999353,0.00714471,0.007352289,3.1200029345375415,2.6499361780462682
alternating_sign,openmp,mixed_fp32_fp64,4.0,13572088,8,0.0044052459999999,0.00532799749999995,0.006355730374999963,0.0029393573345584214,0.004649574249999925,0.006317975,0.004474815849999935,0.011150186499999997,0.01301093,0.01453183199999995,2.95350815822778,2.7274472257166194
alternating_sign,openmp,mixed_fp32_fp64,4.0,26050038,8,0.008872364,0.01113371849999995,0.011703288249999989,0.003073725586770502,0.0092131855,0.012872814750000001,0.0089017752,0.016459978849999998,0.0256516819999999,0.02657848649999995,2.891189090077898,2.3872066192440617
alternating_sign,openmp,mixed_fp32_fp64,4.0,50000000,8,0.017194381,0.01814804549999995,0.019608387999999963,0.0032150296838770725,0.017784452999999978,0.019928862499999925,0.017276443399999966,0.02496582495,0.044285111,0.045494825,2.5755571543982887,2.5068718832559753
alternating_sign,openmp,mixed_fp32_fp64,8.0,1000000,8,0.000183913,0.00019875599999994998,0.0002030987499999625,1.5345001221901442e-05,0.000192713499999975,0.000213380249999975,0.000186654549999965,0.000224898649999965,0.0010147509999999,0.00107213149999995,5.517559933228754,5.394209482985267
alternating_sign,openmp,mixed_fp32_fp64,8.0,1919384,8,0.005504603,0.0082897354999999,0.008906241124999962,0.003306441096817228,0.007037752499999925,0.0093472265,0.0055951795,0.014222683399999998,0.0021412699999999,0.00221549599999995,0.38899626367240286,0.2672577430244881
alternating_sign,openmp,mixed_fp32_fp64,8.0,3684032,8,0.0018342479999999,0.01569591949999995,0.014477915124999938,0.005800824604925554,0.013681052999999901,0.016428321,0.005803785599999901,0.020455226899999932,0.004163344,0.0042788815,2.2697824939704048,0.27261107576399163
