precision,threads,n,n_obs,q25,median,q75,q05,q95,min,max
mixed_fp32_fp64,4.0,1000000,12,3.2008590800875236e-16,8.147299965892083e-16,1.2220920132779493e-15,6.399722604016994e-17,2.166500514832086e-15,0.0,2.6787961221883774e-15
mixed_fp32_fp64,4.0,1919384,12,3.337461143001839e-16,2.1826530352845933e-15,3.1539483959321624e-15,2.424251091726202e-16,4.0450760997057215e-15,2.424247430554394e-16,4.2436142614173e-15
mixed_fp32_fp64,4.0,3684032,12,1.295613602719956e-15,3.2227458786767707e-15,5.781670235142961e-15,3.9201100878092956e-16,6.952324367865844e-15,2.5275171506712447e-16,6.952517948041731e-15
mixed_fp32_fp64,4.0,7071068,12,4.017570138004225e-15,8.361419250140544e-15,9.582730807183428e-15,2.0408788640868422e-16,1.53105662996085e-14,1.3170192418413002e-16,2.001639462171743e-14
mixed_fp32_fp64,4.0,13572088,12,2.984434014404311e-15,6.9987987401020465e-15,1.5611257302744832e-14,2.2637076012894063e-16,2.8881772212993854e-14,0.0,3.5671525073396746e-14
mixed_fp32_fp64,4.0,26050038,12,1.4121749523005735e-14,2.4022751587659588e-14,4.5758402847303996e-14,2.9318776423535455e-15,6.994709641991642e-14,2.1446633567265927e-15,8.308636106272443e-14
mixed_fp32_fp64,4.0,50000000,12,2.0377159979190718e-14,4.089937954086801e-14,6.992386963956019e-14,1.5370132761015122e-14,1.337449939682744e-13,1.2667381765941155e-14,1.40964542461944e-13
mixed_fp32_fp64,8.0,1000000,12,3.2000629714808227e-16,8.147701446983684e-16,1.1929866279261714e-15,2.3263523366150927e-16,2.073336313389112e-15,2.3244857936878414e-16,2.32938793233772e-15
mixed_fp32_fp64,8.0,1919384,12,4.853474767472489e-16,2.000427361982797e-15,3.0938135319934506e-15,6.668707267210598e-17,4.286421253421185e-15,0.0,4.486106504926861e-15
mixed_fp32_fp64,8.0,3684032,12,1.3588378125496036e-15,3.2860333388924263e-15,6.160787745336808e-15,3.224428245307487e-16,7.38842629841523e-15,2.5275171506712447e-16,7.458155616990221e-15
mixed_fp32_fp64,8.0,7071068,12,4.7090426655784315e-15,8.229758543095745e-15,9.352010692271483e-15,1.2247049318150124e-15,1.550823271784271e-14,7.89938293777231e-16,1.948964739483013e-14
mixed_fp32_fp64,8.0,13572088,12,1.4068309148661846e-15,8.096719711280861e-15,1.3656578455368039e-14,5.625364752440771e-16,2.8181924171137274e-14,4.115832002344375e-16,3.6631912286911274e-14
mixed_fp32_fp64,8.0,26050038,12,1.1368836949729573e-14,2.5022011300790307e-14,4.7867597733777335e-14,2.1305026827140792e-15,6.647223772769936e-14,7.151924115733013e-16,7.851017594395131e-14
mixed_fp32_fp64,8.0,50000000,12,2.3094925765871283e-14,3.292809317585901e-14,7.626196841569233e-14,7.479956382431792e-15,1.3656219952867796e-13,3.874728540170236e-15,1.3737379904913841e-13
mixed_fp32_fp64,16.0,1000000,12,2.327953777446866e-16,8.148854991560377e-16,1.1639381380629186e-15,2.3259631279629275e-16,2.0616780578768893e-15,2.3244857936878414e-16,2.4458573289546054e-15
mixed_fp32_fp64,16.0,1919384,12,4.547813622170102e-16,2.0003613825218646e-15,3.3359334600778786e-15,1.333339747976725e-16,4.263319118864326e-15,0.0,4.728598748436421e-15
mixed_fp32_fp64,16.0,3684032,12,1.3904245122650685e-15,3.4124020526528986e-15,6.0665286691264034e-15,4.742782413911884e-16,7.570520794368783e-15,1.2637585753356226e-16,7.710974451464467e-15
mixed_fp32_fp64,16.0,7071068,12,5.400614390323229e-15,8.361434804217896e-15,9.022138639844675e-15,1.1851328730110748e-15,1.518555463865708e-14,1.1849074406658468e-15,1.909458697466465e-14
mixed_fp32_fp64,16.0,13572088,12,1.612508664608277e-15,8.439514934435901e-15,1.3828378486105146e-14,5.282536491940123e-16,2.8284850272701596e-14,0.0,3.635751594019282e-14
mixed_fp32_fp64,16.0,26050038,12,1.1726345352127417e-14,2.3808596020289025e-14,5.03343399064689e-14,1.7588706995740001e-15,6.711567281885119e-14,1.2873463408319425e-15,7.836717015898964e-14
mixed_fp32_fp64,16.0,50000000,12,2.2722957336273583e-14,3.113965836816623e-14,7.644836037709457e-14,5.967446997608872e-15,1.313842106365825e-13,1.7883362493093397e-15,1.3424489473240101e-13
mixed_fp32_fp64,22.0,1000000,12,3.2000629714808227e-16,8.730458344342406e-16,1.1929866279261714e-15,1.8022400758510435e-16,2.0616780578768893e-15,1.1639397540505128e-16,2.4458573289546054e-15
