experiment,input_distribution,method,precision,threads,n,trial,repeat,seed_x,seed_y,runtime,result
runtime,normal,serial,fp64,,3684032,0,3,123,456,0.0031974769999999998,4059.176055285282
runtime,normal,serial,mixed_fp32_fp64,,3684032,0,3,123,456,0.0048185140000000003,4059.1761561903222
runtime,normal,serial,fp64,,3684032,0,4,123,456,0.0033472350000000001,4059.176055285282
runtime,normal,serial,mixed_fp32_fp64,,3684032,0,4,123,456,0.0046810530000000001,4059.1761561903222
runtime,normal,serial,fp64,,3684032,0,5,123,456,0.0032640809999999998,4059.176055285282
runtime,normal,serial,mixed_fp32_fp64,,3684032,0,5,123,456,0.0037832500000000002,4059.1761561903222
runtime,normal,serial,fp64,,3684032,0,6,123,456,0.0033676470000000001,4059.176055285282
runtime,normal,serial,mixed_fp32_fp64,,3684032,0,6,123,456,0.0036494140000000001,4059.1761561903222
runtime,normal,serial,fp64,,3684032,0,7,123,456,0.0031354730000000002,4059.176055285282
runtime,normal,serial,mixed_fp32_fp64,,3684032,0,7,123,456,0.0038322170000000002,4059.1761561903222
runtime,normal,openmp,fp64,1,3684032,0,0,123,456,0.003453827,4059.176055285282
runtime,normal,openmp,mixed_fp32_fp64,1,3684032,0,0,123,456,0.0038219579999999999,4059.1761561903222
runtime,normal,openmp,fp64,1,3684032,0,1,123,456,0.0031362759999999999,4059.176055285282
runtime,normal,openmp,mixed_fp32_fp64,1,3684032,0,1,123,456,0.0041363229999999999,4059.1761561903222
runtime,normal,openmp,fp64,1,3684032,0,2,123,456,0.0031495189999999999,4059.176055285282
runtime,normal,openmp,mixed_fp32_fp64,1,3684032,0,2,123,456,0.0037652440000000001,4059.1761561903222
runtime,normal,openmp,fp64,1,3684032,0,3,123,456,0.003133369,4059.176055285282
runtime,normal,openmp,mixed_fp32_fp64,1,3684032,0,3,123,456,0.0038450899999999998,4059.1761561903222
runtime,normal,openmp,fp64,1,3684032,0,4,123,456,0.003150267,4059.176055285282
runtime,normal,openmp,mixed_fp32_fp64,1,3684032,0,4,123,456,0.003691967,4059.1761561903222
runtime,normal,openmp,fp64,1,3684032,0,5,123,456,0.0031893049999999999,4059.176055285282
runtime,normal,openmp,mixed_fp32_fp64,1,3684032,0,5,123,456,0.0036473529999999999,4059.1761561903222
runtime,normal,openmp,fp64,1,3684032,0,6,123,456,0.0031243529999999999,4059.176055285282
runtime,normal,openmp,mixed_fp32_fp64,1,3684032,0,6,123,456,0.0038712920000000001,4059.1761561903222
runtime,normal,openmp,fp64,1,3684032,0,7,123,456,0.0031398620000000002,4059.176055285282
runtime,normal,openmp,mixed_fp32_fp64,1,3684032,0,7,123,456,0.0036852040000000001,4059.1761561903222
runtime,normal,openmp,fp64,2,3684032,0,0,123,456,0.0030878329999999999,4059.1760552853093
runtime,normal,openmp,mixed_fp32_fp64,2,3684032,0,0,123,456,0.0031471649999999999,4059.1761561903204
runtime,normal,openmp,fp64,2,3684032,0,1,123,456,0.002224569,4059.1760552853093
runtime,normal,openmp,mixed_fp32_fp64,2,3684032,0,1,123,456,0.0022343110000000001,4059.1761561903204
runtime,normal,openmp,fp64,2,3684032,0,2,123,456,0.0018990470000000001,4059.1760552853093
runtime,normal,openmp,mixed_fp32_fp64,2,3684032,0,2,123,456,0.0025075359999999999,4059.1761561903204
runtime,normal,openmp,fp64,2,3684032,0,3,123,456,0.001685473,4059.1760552853093
runtime,normal,openmp,mixed_fp32_fp64,2,3684032,0,3,123,456,0.0033907949999999998,4059.1761561903204
runtime,normal,openmp,fp64,2,3684032,0,4,123,456,0.0017811000000000001,4059.1760552853093
runtime,normal,openmp,mixed_fp32_fp64,2,3684032,0,4,123,456,0.0020327840000000002,4059.1761561903204
runtime,normal,openmp,fp64,2,3684032,0,5,123,456,0.0020505800000000002,4059.1760552853093
runtime,normal,openmp,mixed_fp32_fp64,2,3684032,0,5,123,456,0.0019244049999999999,4059.1761561903204
runtime,normal,openmp,fp64,2,3684032,0,6,123,456,0.001951632,4059.1760552853093
runtime,normal,openmp,mixed_fp32_fp64,2,3684032,0,6,123,456,0.0018980830000000001,4059.1761561903204
runtime,normal,openmp,fp64,2,3684032,0,7,123,456,0.0034971009999999999,4059.1760552853093
runtime,normal,openmp,mixed_fp32_fp64,2,3684032,0,7,123,456,0.0019886560000000001,4059.1761561903204
runtime,normal,openmp,fp64,4,3684032,0,0,123,456,0.001591135,4059.1760552853448
